Amanita	SH380322.07FU	SH104846.07FU	SH053318.07FU	SH015084.07FU	-18.766947|46.869107	58.595272|25.013607	37.09024|-95.712891	49.817492|15.472962	-40.900557|174.885971	53.41291|-8.24389	41.902916|12.453389
Amanita	SH371404.07FU	SH101623.07FU	SH051096.07FU	SH013399.07FU	35.86166|104.195397	60.128161|18.643501	-25.274398|133.775136	35.86166|104.195397	54.236107|-4.548056	14.641528|-61.024174	13.909444|-60.978893
Amanita	SH411481.07FU	SH118439.07FU	SH063272.07FU	SH023136.07FU	58.595272|25.013607	36.204824|138.252924	15.870032|100.992541	37.09024|-95.712891	-30.559482|22.937506	39.399872|-8.224454	23.684994|90.356331
Amanita	SH411494.07FU	SH118438.07FU	SH063269.07FU	SH023136.07FU	58.595272|25.013607	37.09024|-95.712891	56.26392|9.501785	35.907757|127.766922	10.691803|-61.222503	41.20438|74.766098	31.354676|34.308825
Amanita	SH411482.07FU	SH118439.07FU	SH063272.07FU	SH023136.07FU	58.595272|25.013607, 61.52401|105.318756, 58.595272|25.013607	37.09024|-95.712891	51.165691|10.451526	4.860416|-58.93018	42.733883|25.48583	40.463667|-3.74922	46.151241|14.995463
Amanita	SH377266.07FU	SH103591.07FU	SH052368.07FU	SH014320.07FU	37.09024|-95.712891	51.165691|10.451526	35.86166|104.195397	36.204824|138.252924	8.537981|-80.782127	47.411631|28.369885	28.394857|84.124008
Amanita	SH377267.07FU	SH103592.07FU	SH052369.07FU	SH014320.07FU	37.09024|-95.712891	36.204824|138.252924	35.86166|104.195397	56.26392|9.501785	48.019573|66.923684	8.619543|0.824782	41.87194|12.56738
Amanita	SH426625.07FU	SH125487.07FU	SH068401.07FU	SH027355.07FU	17.189877|-88.49765	-3.373056|29.918886	35.86166|104.195397	51.165691|10.451526	12.226079|-69.060087	-4.038333|21.758664	-3.370417|-168.734039
Amanita	SH426626.07FU	SH125487.07FU	SH068401.07FU	SH027355.07FU	37.09024|-95.712891	51.919438|19.145136	-13.133897|27.849332	23.634501|-102.552784	6.428055|-9.429499	21.00789|-10.940835	-18.665695|35.529562
Amanita	SH426627.07FU	SH125487.07FU	SH068401.07FU	SH027355.07FU	37.09024|-95.712891	37.09024|-95.712891	35.86166|104.195397	15.870032|100.992541	-0.789275|113.921327	45.943161|24.96676	42.315407|43.356892
Amanita	SH426628.07FU	SH125487.07FU	SH068401.07FU	SH027355.07FU	37.09024|-95.712891	-25.274398|133.775136	37.09024|-95.712891	37.09024|-95.712891	41.608635|21.745275	18.971187|-72.285215	-21.115141|55.536384
Amanita	SH426629.07FU	SH125487.07FU	SH068401.07FU	SH027355.07FU	37.09024|-95.712891	71.706936|-42.604303	36.204824|138.252924	35.907757|127.766922	46.151241|14.995463	21.694025|-71.797928	7.131474|171.184478
Amanita	SH448348.07FU	SH133632.07FU	SH074232.07FU	SH032124.07FU	23.634501|-102.552784	40.463667|-3.74922	36.204824|138.252924	51.165691|10.451526	48.669026|19.699024	30.585164|36.238414	-29.040835|167.954712
Amanita	SH448380.07FU	SH133632.07FU	SH074232.07FU	SH032124.07FU	23.634501|-102.552784	36.204824|138.252924	36.204824|138.252924	37.09024|-95.712891	-0.789275|113.921327	52.132633|5.291266	60.472024|8.468946
Amanita	SH448385.07FU	SH133632.07FU	SH074232.07FU	SH032124.07FU	23.634501|-102.552784	37.09024|-95.712891	71.706936|-42.604303	51.165691|10.451526	-13.759029|-172.104629	31.952162|35.233154	-0.522778|166.931503
Amanita	SH448318.07FU	SH133632.07FU	SH074232.07FU	SH032124.07FU	23.634501|-102.552784, 23.634501|-102.552784	58.595272|25.013607	35.907757|127.766922	35.86166|104.195397	33.223191|43.679291	-10.447525|105.690449	12.984305|-61.287228
Amanita	SH448370.07FU	SH133627.07FU	SH074232.07FU	SH032124.07FU	32.427908|53.688046	35.86166|104.195397	60.128161|18.643501	35.86166|104.195397	41.608635|21.745275	61.52401|105.318756	-13.759029|-172.104629
Amanita	SH448417.07FU	SH133653.07FU	SH074256.07FU	SH032124.07FU	35.86166|104.195397	37.09024|-95.712891	51.165691|10.451526	37.09024|-95.712891	26.820553|30.802498	14.497401|-14.452362	33.886917|9.537499
Amanita	SH448356.07FU	SH133664.07FU	SH074232.07FU	SH032124.07FU	35.907757|127.766922	37.09024|-95.712891	58.595272|25.013607	37.09024|-95.712891	23.634501|-102.552784	-19.015438|29.154857	40.339852|127.510093
Amanita	SH448365.07FU	SH133627.07FU	SH074232.07FU	SH032124.07FU	35.907757|127.766922	56.130366|-106.346771	36.204824|138.252924	56.26392|9.501785	41.902916|12.453389	15.870032|100.992541	38.963745|35.243322
Amanita	SH448415.07FU	SH133653.07FU	SH074256.07FU	SH032124.07FU	36.204824|138.252924	56.130366|-106.346771	36.204824|138.252924	58.595272|25.013607	32.321384|-64.75737	13.444304|144.793731	56.879635|24.603189
Amanita	SH448325.07FU	SH133657.07FU	SH074243.07FU	SH032124.07FU	37.09024|-95.712891	51.165691|10.451526	20.593684|78.96288	35.86166|104.195397	-38.416097|-63.616672	6.428055|-9.429499	-3.370417|-168.734039
Amanita	SH448346.07FU	SH133650.07FU	SH074243.07FU	SH032124.07FU	37.09024|-95.712891	4.860416|-58.93018	37.09024|-95.712891	56.26392|9.501785	-21.178986|-175.198242	17.33083|145.38469	4.210484|101.975766
Amanita	SH448413.07FU	SH133632.07FU	SH074232.07FU	SH032124.07FU	37.09024|-95.712891	32.427908|53.688046	-25.274398|133.775136	36.204824|138.252924	58.595272|25.013607	15.414999|-61.370976	21.913965|95.956223
Amanita	SH448414.07FU	SH133633.07FU	SH074232.07FU	SH032124.07FU	37.09024|-95.712891	56.130366|-106.346771	15.870032|100.992541	15.870032|100.992541	45.943161|24.96676	-0.023559|37.906193	60.472024|8.468946
Amanita	SH448418.07FU	SH133632.07FU	SH074232.07FU	SH032124.07FU	37.09024|-95.712891	41.87194|12.56738	23.634501|-102.552784	36.204824|138.252924	18.220833|-66.590149	15.552727|48.516388	41.153332|20.168331
Amanita	SH448424.07FU	SH133633.07FU	SH074232.07FU	SH032124.07FU	37.09024|-95.712891	4.210484|101.975766	37.09024|-95.712891	56.130366|-106.346771	25.03428|-77.39628	40.069099|45.038189	35.86166|104.195397
Amanita	SH448431.07FU	SH133650.07FU	SH074243.07FU	SH032124.07FU	37.09024|-95.712891	58.595272|25.013607	-25.274398|133.775136	42.733883|25.48583	23.634501|-102.552784	-0.023559|37.906193	42.602636|20.902977
Amanita	SH448433.07FU	SH133633.07FU	SH074232.07FU	SH032124.07FU	37.09024|-95.712891	37.09024|-95.712891	35.86166|104.195397	36.204824|138.252924	37.09024|-95.712891	12.879721|121.774017	12.238333|-1.561593
Amanita	SH448460.07FU	SH133690.07FU	SH074243.07FU	SH032124.07FU	37.09024|-95.712891	4.570868|-74.297333	47.162494|19.503304	4.860416|-58.93018	33.93911|67.709953	1.373333|32.290275	41.902916|12.453389
Amanita	SH448476.07FU	SH133698.07FU	SH074232.07FU	SH032124.07FU	37.09024|-95.712891	37.09024|-95.712891	37.09024|-95.712891	35.907757|127.766922	31.046051|34.851612	7.131474|171.184478	7.51498|134.58252
Amanita	SH448308.07FU	SH133633.07FU	SH074232.07FU	SH032124.07FU	37.09024|-95.712891, 37.09024|-95.712891	37.09024|-95.712891	71.706936|-42.604303	36.204824|138.252924	18.220833|-66.590149	37.09024|-95.712891	38.963745|35.243322
Amanita	SH448313.07FU	SH133632.07FU	SH074232.07FU	SH032124.07FU	37.09024|-95.712891, 37.09024|-95.712891	35.86166|104.195397	35.907757|127.766922	35.86166|104.195397	-9.189967|-75.015152	12.984305|-61.287228	21.694025|-71.797928
Amanita	SH448392.07FU	SH133633.07FU	SH074232.07FU	SH032124.07FU	4.570868|-74.297333	4.570868|-74.297333	-30.559482|22.937506	41.87194|12.56738	49.817492|15.472962	-3.370417|-168.734039	61.52401|105.318756
Amanita	SH448400.07FU	SH133633.07FU	SH074232.07FU	SH032124.07FU	4.570868|-74.297333	-30.559482|22.937506	35.86166|104.195397	-18.766947|46.869107	12.879721|121.774017	-10.447525|105.690449	18.335765|-64.896335
Amanita	SH448421.07FU	SH133627.07FU	SH074232.07FU	SH032124.07FU	4.570868|-74.297333	56.130366|-106.346771	58.595272|25.013607	-25.274398|133.775136	40.463667|-3.74922	12.52111|-69.968338	17.33083|145.38469
Amanita	SH448299.07FU	SH133627.07FU	SH074232.07FU	SH032124.07FU	4.570868|-74.297333, 32.427908|53.688046, 61.52401|105.318756, 56.26392|9.501785, 55.378051|-3.435973, 46.227638|2.213749	37.09024|-95.712891	37.09024|-95.712891	15.870032|100.992541	38.963745|35.243322	43.94236|12.457777	3.202778|73.22068
Amanita	SH448372.07FU	SH133627.07FU	SH074232.07FU	SH032124.07FU	41.87194|12.56738	36.204824|138.252924	37.09024|-95.712891	55.378051|-3.435973	54.236107|-4.548056	15.870032|100.992541	21.00789|-10.940835
Amanita	SH448430.07FU	SH133627.07FU	SH074232.07FU	SH032124.07FU	46.227638|2.213749	0.18636|6.613081	60.128161|18.643501	37.09024|-95.712891	-21.236736|-159.777671	15.414999|-61.370976	-29.040835|167.954712
Amanita	SH448377.07FU	SH133627.07FU	SH074232.07FU	SH032124.07FU	49.817492|15.472962	4.570868|-74.297333	37.09024|-95.712891	58.595272|25.013607	51.165691|10.451526	12.262776|-61.604171	-11.875001|43.872219
Amanita	SH448426.07FU	SH133682.07FU	SH074276.07FU	SH032124.07FU	49.817492|15.472962	37.09024|-95.712891	55.378051|-3.435973	37.09024|-95.712891	19.85627|102.495496	9.748917|-83.753428	44.016521|21.005859
Amanita	SH448357.07FU	SH133627.07FU	SH074232.07FU	SH032124.07FU	51.165691|10.451526	-13.133897|27.849332	37.09024|-95.712891	35.86166|104.195397	-13.133897|27.849332	42.602636|20.902977	22.396428|114.109497
Amanita	SH448363.07FU	SH133632.07FU	SH074232.07FU	SH032124.07FU	56.130366|-106.346771	-30.559482|22.937506	51.919438|19.145136	36.204824|138.252924	-38.416097|-63.616672	3.933889|-53.125782	12.984305|-61.287228
Amanita	SH448361.07FU	SH133627.07FU	SH074232.07FU	SH032124.07FU	56.26392|9.501785	-25.274398|133.775136	-25.274398|133.775136	14.058324|108.277199	-7.109535|177.64933	-20.348404|57.552152	-13.759029|-172.104629
Amanita	SH448324.07FU	SH133627.07FU	SH074232.07FU	SH032124.07FU	58.595272|25.013607	56.26392|9.501785	51.165691|10.451526	58.595272|25.013607	46.227638|2.213749	7.873054|80.771797	4.570868|-74.297333
Amanita	SH448427.07FU	SH133627.07FU	SH074232.07FU	SH032124.07FU	58.595272|25.013607	35.907757|127.766922	60.472024|8.468946	-25.274398|133.775136	42.708678|19.37439	17.357822|-62.782998	46.862496|103.846656
Amanita	SH448303.07FU	SH133627.07FU	SH074232.07FU	SH032124.07FU	58.595272|25.013607, 51.165691|10.451526, 56.26392|9.501785, 46.227638|2.213749, 41.87194|12.56738, 51.919438|19.145136, 46.227638|2.213749	36.204824|138.252924	37.09024|-95.712891	35.86166|104.195397	30.585164|36.238414	1.373333|32.290275	15.199999|-86.241905
Amanita	SH448345.07FU	SH133627.07FU	SH074232.07FU	SH032124.07FU	61.52401|105.318756	4.860416|-58.93018	37.09024|-95.712891	37.09024|-95.712891	-11.202692|17.873887	60.472024|8.468946	7.131474|171.184478
Amanita	SH448434.07FU	SH133647.07FU	SH074251.07FU	SH032139.07FU	-25.274398|133.775136	35.907757|127.766922	37.09024|-95.712891	60.128161|18.643501	-22.328474|24.684866	38.861034|71.276093	15.414999|-61.370976
Amanita	SH448449.07FU	SH133687.07FU	SH074280.07FU	SH032139.07FU	-25.274398|133.775136	56.130366|-106.346771	56.130366|-106.346771	37.09024|-95.712891	18.220833|-66.590149	46.862496|103.846656	13.443182|-15.310139
Amanita	SH448323.07FU	SH133647.07FU	SH074251.07FU	SH032139.07FU	-25.274398|133.775136, -25.274398|133.775136	37.09024|-95.712891	35.86166|104.195397	58.595272|25.013607	60.472024|8.468946	-12.8275|45.166244	60.472024|8.468946
Amanita	SH320497.07FU	SH082307.07FU	SH038021.07FU	SH003270.07FU	37.09024|-95.712891	71.706936|-42.604303	58.595272|25.013607	36.204824|138.252924	61.52401|105.318756	25.354826|51.183884	-38.416097|-63.616672
Amanita	SH320434.07FU	SH082307.07FU	SH038021.07FU	SH003270.07FU	56.130366|-106.346771	58.595272|25.013607	35.86166|104.195397	35.86166|104.195397	36.204824|138.252924	-51.796253|-59.523613	27.514162|90.433601
Amanita	SH320510.07FU	SH082307.07FU	SH038021.07FU	SH003270.07FU	56.130366|-106.346771	40.463667|-3.74922	35.86166|104.195397	-13.133897|27.849332	21.694025|-71.797928	13.909444|-60.978893	26.3351|17.228331
Amanita	SH320545.07FU	SH082307.07FU	SH038021.07FU	SH003270.07FU	56.130366|-106.346771	40.463667|-3.74922	51.165691|10.451526	35.86166|104.195397	21.913965|95.956223	14.641528|-61.024174	-0.522778|166.931503
Amanita	SH365112.07FU	SH099009.07FU	SH049238.07FU	SH011907.07FU	35.86166|104.195397	-25.274398|133.775136	37.09024|-95.712891	40.463667|-3.74922	31.952162|35.233154	45.943161|24.96676	-25.274398|133.775136
Amanita	SH365103.07FU	SH099003.07FU	SH049238.07FU	SH011907.07FU	37.09024|-95.712891, 37.09024|-95.712891	37.09024|-95.712891	41.87194|12.56738	37.09024|-95.712891	-13.759029|-172.104629	26.3351|17.228331	-8.874217|125.727539
Amanita	SH365119.07FU	SH099002.07FU	SH049238.07FU	SH011907.07FU	41.87194|12.56738	56.26392|9.501785	42.708678|19.37439	41.87194|12.56738	49.465691|-2.585278	12.865416|-85.207229	71.706936|-42.604303
Amanita	SH365101.07FU	SH099002.07FU	SH049238.07FU	SH011907.07FU	51.165691|10.451526, 58.595272|25.013607, 58.595272|25.013607	35.86166|104.195397	61.92411|25.748151	-30.559482|22.937506	15.783471|-90.230759	21.512583|55.923255	41.902916|12.453389
Amanita	SH365114.07FU	SH099010.07FU	SH049243.07FU	SH011907.07FU	56.130366|-106.346771	51.165691|10.451526	37.09024|-95.712891	4.860416|-58.93018	51.919438|19.145136	18.109581|-77.297508	3.202778|73.22068
Amanita	SH365102.07FU	SH099002.07FU	SH049238.07FU	SH011907.07FU	58.595272|25.013607, 51.165691|10.451526, 58.595272|25.013607, 61.52401|105.318756	37.09024|-95.712891	-25.274398|133.775136	36.204824|138.252924	-25.274398|133.775136	51.919438|19.145136	21.00789|-10.940835
Amanita	SH448437.07FU	SH133629.07FU	SH074235.07FU	SH032127.07FU	37.09024|-95.712891	36.204824|138.252924	51.165691|10.451526	-25.274398|133.775136	-21.178986|-175.198242	-22.95764|18.49041	-15.376706|166.959158
Amanita	SH448462.07FU	SH133629.07FU	SH074235.07FU	SH032127.07FU	41.87194|12.56738	61.52401|105.318756	4.860416|-58.93018	-18.766947|46.869107	-18.766947|46.869107	11.803749|-15.180413	52.132633|5.291266
Amanita	SH448390.07FU	SH133629.07FU	SH074235.07FU	SH032127.07FU	51.165691|10.451526	56.130366|-106.346771	51.165691|10.451526	36.204824|138.252924	23.424076|53.847818	58.595272|25.013607	14.497401|-14.452362
Amanita	SH448464.07FU	SH133692.07FU	SH074282.07FU	SH032127.07FU	51.165691|10.451526	61.52401|105.318756	35.86166|104.195397	37.09024|-95.712891	34.802075|38.996815	-0.803689|11.609444	14.058324|108.277199
Amanita	SH448477.07FU	SH133629.07FU	SH074235.07FU	SH032127.07FU	56.130366|-106.346771	71.706936|-42.604303	58.595272|25.013607	35.86166|104.195397	-9.64571|160.156194	-0.803689|11.609444	-17.679742|-149.406843
Amanita	SH448302.07FU	SH133629.07FU	SH074235.07FU	SH032127.07FU	58.595272|25.013607, 55.378051|-3.435973, 36.204824|138.252924, 56.879635|24.603189, 49.817492|15.472962, 56.130366|-106.346771, 56.26392|9.501785, 56.130366|-106.346771, 61.92411|25.748151, 37.09024|-95.712891, 56.130366|-106.346771, 56.130366|-106.346771, 60.472024|8.468946, 56.130366|-106.346771	15.870032|100.992541	58.595272|25.013607	56.130366|-106.346771	3.919305|-56.027783	46.151241|14.995463	23.424076|53.847818
Amanita	SH448304.07FU	SH133629.07FU	SH074235.07FU	SH032127.07FU	58.595272|25.013607, 61.92411|25.748151, 46.818188|8.227512, 61.92411|25.748151, 61.92411|25.748151, 37.09024|-95.712891, 58.595272|25.013607	35.86166|104.195397	-18.766947|46.869107	32.427908|53.688046	-30.559482|22.937506	15.783471|-90.230759	22.396428|114.109497
Amanita	SH448388.07FU	SH133629.07FU	SH074235.07FU	SH032127.07FU	61.92411|25.748151	37.09024|-95.712891	56.130366|-106.346771	37.09024|-95.712891	12.879721|121.774017	42.708678|19.37439	-0.023559|37.906193
Amanita	SH318738.07FU	SH081604.07FU	SH037489.07FU	SH002837.07FU	35.86166|104.195397	37.09024|-95.712891	37.09024|-95.712891	4.570868|-74.297333	3.933889|-53.125782	0.18636|6.613081	-6.314993|143.95555
Amanita	SH318740.07FU	SH081604.07FU	SH037489.07FU	SH002837.07FU	35.86166|104.195397	51.165691|10.451526	35.86166|104.195397	58.595272|25.013607	32.427908|53.688046	17.607789|8.081666	16.742498|-62.187366
Amanita	SH318783.07FU	SH081604.07FU	SH037489.07FU	SH002837.07FU	35.86166|104.195397	35.86166|104.195397	-25.274398|133.775136	35.907757|127.766922	1.650801|10.267895	-14.235004|-51.92528	17.357822|-62.782998
Amanita	SH318792.07FU	SH081604.07FU	SH037489.07FU	SH002837.07FU	35.86166|104.195397	36.204824|138.252924	37.09024|-95.712891	7.369722|12.354722	64.963051|-19.020835	-20.904305|165.618042	-22.95764|18.49041
Amanita	SH387047.07FU	SH107712.07FU	SH055459.07FU	SH016771.07FU	40.463667|-3.74922	35.86166|104.195397	55.378051|-3.435973	55.378051|-3.435973	56.26392|9.501785	-13.759029|-172.104629	61.92411|25.748151
Amanita	SH387039.07FU	SH107712.07FU	SH055459.07FU	SH016771.07FU	41.87194|12.56738	37.09024|-95.712891	35.907757|127.766922	36.204824|138.252924	-16.578193|179.414413	15.454166|18.732207	47.162494|19.503304
Amanita	SH387060.07FU	SH107723.07FU	SH055459.07FU	SH016771.07FU	41.87194|12.56738	61.52401|105.318756	35.907757|127.766922	37.09024|-95.712891	-21.236736|-159.777671	77.553604|23.670272	15.454166|18.732207
Amanita	SH377269.07FU	SH103594.07FU	SH052371.07FU	SH014321.07FU	35.86166|104.195397	58.595272|25.013607	61.52401|105.318756	51.165691|10.451526	3.919305|-56.027783	21.00789|-10.940835	56.879635|24.603189
Amanita	SH377268.07FU	SH103593.07FU	SH052370.07FU	SH014321.07FU	36.204824|138.252924	36.204824|138.252924	36.204824|138.252924	35.86166|104.195397	17.189877|-88.49765	7.369722|12.354722	-25.274398|133.775136
Amanita	SH318796.07FU	SH081605.07FU	SH037486.07FU	SH002833.07FU	37.09024|-95.712891	35.86166|104.195397	56.130366|-106.346771	35.86166|104.195397	50.503887|4.469936	4.210484|101.975766	-51.796253|-59.523613
Amanita	SH318808.07FU	SH081633.07FU	SH037486.07FU	SH002833.07FU	4.570868|-74.297333	35.86166|104.195397	30.375321|69.345116	35.907757|127.766922	-25.274398|133.775136	51.165691|10.451526	61.892635|-6.911806
Amanita	SH318810.07FU	SH081605.07FU	SH037486.07FU	SH002833.07FU	56.130366|-106.346771	37.09024|-95.712891	23.634501|-102.552784	7.369722|12.354722	12.984305|-61.287228	-0.522778|166.931503	60.472024|8.468946
Amanita	SH318739.07FU	SH081605.07FU	SH037486.07FU	SH002833.07FU	56.130366|-106.346771, 37.09024|-95.712891	56.130366|-106.346771	30.375321|69.345116	37.09024|-95.712891	-26.522503|31.465866	13.193887|-59.543198	61.52401|105.318756
Amanita	SH318733.07FU	SH081603.07FU	SH037486.07FU	SH002833.07FU	61.92411|25.748151, 58.595272|25.013607, 55.378051|-3.435973, 36.204824|138.252924, 58.595272|25.013607, 35.86166|104.195397, 49.817492|15.472962, 60.128161|18.643501, 56.26392|9.501785	37.09024|-95.712891	51.165691|10.451526	41.87194|12.56738	26.3351|17.228331	7.425554|150.550812	41.153332|20.168331
Amanita	SH320483.07FU	SH082319.07FU	SH038015.07FU	SH003264.07FU	23.634501|-102.552784	36.204824|138.252924	56.130366|-106.346771	37.09024|-95.712891	1.650801|10.267895	-14.235004|-51.92528	9.30769|2.315834
Amanita	SH320484.07FU	SH082319.07FU	SH038015.07FU	SH003264.07FU	23.634501|-102.552784	4.570868|-74.297333	56.26392|9.501785	35.907757|127.766922	12.862807|30.217636	15.179384|39.782334	12.226079|-69.060087
Amanita	SH320521.07FU	SH082299.07FU	SH038015.07FU	SH003264.07FU	28.394857|84.124008	35.907757|127.766922	61.52401|105.318756	36.204824|138.252924	25.03428|-77.39628	25.930414|50.637772	13.443182|-15.310139
Amanita	SH320522.07FU	SH082299.07FU	SH038015.07FU	SH003264.07FU	28.394857|84.124008	36.204824|138.252924	-25.274398|133.775136	-25.274398|133.775136	43.915886|17.679076	26.820553|30.802498	54.236107|-4.548056
Amanita	SH320442.07FU	SH082301.07FU	SH038015.07FU	SH003264.07FU	32.427908|53.688046	37.09024|-95.712891	36.204824|138.252924	56.26392|9.501785	42.315407|43.356892	41.608635|21.745275	21.00789|-10.940835
Amanita	SH320478.07FU	SH082301.07FU	SH038015.07FU	SH003264.07FU	32.427908|53.688046	-25.274398|133.775136	37.09024|-95.712891	4.860416|-58.93018	31.354676|34.308825	28.033886|1.659626	34.802075|38.996815
Amanita	SH320503.07FU	SH082303.07FU	SH038015.07FU	SH003264.07FU	35.86166|104.195397	56.130366|-106.346771	-13.133897|27.849332	37.09024|-95.712891	56.26392|9.501785	4.535277|114.727669	6.611111|20.939444
Amanita	SH320587.07FU	SH082299.07FU	SH038015.07FU	SH003264.07FU	35.86166|104.195397	41.87194|12.56738	61.92411|25.748151	55.378051|-3.435973	35.937496|14.375416	7.873054|80.771797	22.198745|113.543873
Amanita	SH320422.07FU	SH082299.07FU	SH038015.07FU	SH003264.07FU	35.86166|104.195397, 20.593684|78.96288, 28.394857|84.124008	36.204824|138.252924	37.09024|-95.712891	23.634501|-102.552784	15.454166|18.732207	55.378051|-3.435973	-6.314993|143.95555
Amanita	SH320525.07FU	SH082299.07FU	SH038015.07FU	SH003264.07FU	35.907757|127.766922	40.463667|-3.74922	4.570868|-74.297333	37.09024|-95.712891	9.145|40.489673	11.825138|42.590275	7.369722|12.354722
Amanita	SH320523.07FU	SH082299.07FU	SH038015.07FU	SH003264.07FU	36.204824|138.252924	-25.274398|133.775136	36.204824|138.252924	-0.803689|11.609444	4.210484|101.975766	-19.054445|-169.867233	51.165691|10.451526
Amanita	SH320528.07FU	SH082299.07FU	SH038015.07FU	SH003264.07FU	36.204824|138.252924	60.472024|8.468946	37.09024|-95.712891	35.86166|104.195397	-16.578193|179.414413	17.357822|-62.782998	33.854721|35.862285
Amanita	SH320541.07FU	SH082299.07FU	SH038015.07FU	SH003264.07FU	36.204824|138.252924	56.130366|-106.346771	41.87194|12.56738	58.595272|25.013607	8.619543|0.824782	42.602636|20.902977	16.995971|-62.067641
Amanita	SH320412.07FU	SH082299.07FU	SH038015.07FU	SH003264.07FU	36.204824|138.252924, 35.907757|127.766922	37.09024|-95.712891	37.09024|-95.712891	56.26392|9.501785	13.444304|144.793731	-19.054445|-169.867233	46.818188|8.227512
Amanita	SH320429.07FU	SH082299.07FU	SH038015.07FU	SH003264.07FU	36.204824|138.252924, 36.204824|138.252924	58.595272|25.013607	56.26392|9.501785	61.52401|105.318756	54.236107|-4.548056	17.33083|145.38469	14.058324|108.277199
Amanita	SH320494.07FU	SH082299.07FU	SH038015.07FU	SH003264.07FU	37.09024|-95.712891	15.870032|100.992541	58.595272|25.013607	58.595272|25.013607	21.694025|-71.797928	55.378051|-3.435973	-14.270972|-170.132217
Amanita	SH320590.07FU	SH082299.07FU	SH038015.07FU	SH003264.07FU	37.09024|-95.712891	56.26392|9.501785	49.817492|15.472962	37.09024|-95.712891	-0.789275|113.921327	41.153332|20.168331	19.85627|102.495496
Amanita	SH320586.07FU	SH082301.07FU	SH038015.07FU	SH003264.07FU	40.463667|-3.74922	35.86166|104.195397	40.463667|-3.74922	-13.133897|27.849332	18.335765|-64.896335	15.454166|18.732207	17.060816|-61.796428
